시점	국고채|잔액	환율|달러	통화량|M2	KOSDAQ|거래대금	KOSDAQ|종가	KOSPI|거래대금	KOSPI|종가	경기종합지수|동행지수순환변동치	경기종합지수|선행지수순환변동치	제조업|가동률	제조업|재고율	설비투자지수	수출|금액지수	수출|물량지수	순상품교역조건지수	기업경기실사지수|수출전망	기업경기실사지수|업황전망	기업경기실사지수|가동률전망	경제심리지수	실업률	고용률	소비자물가지수	생산자물가지수
201301	369712.3	1089.0		1823313383.0	503.67	4434353297.0	1961.94	100.1	99.4	80.9	84.407	79.0	104.6	81.81	92.95	95.0	70.0	83.0	94.6	3.1	59.3	92.728	101.87
201302	374755.5	1083.0		1867723706.0	535.87	3674863781.0	2026.49	100.1	99.4	77.6	83.685	75.7	97.15	75.63	93.05	87.0	73.0	85.0	94.8	3.2	59.1	93.038	102.57
201303	372549.6	1111.1		2204830078.0	555.02	3830684225.0	2004.89	99.8	99.4	76.9	84.822	75.8	107.8	84.37	92.15	91.0	73.0	93.0	95.3	3.1	59.4	92.952	102.16
201304	378140.8	1101.2		2496984425.0	563.87	4358558297.0	1963.95	99.8	99.4	77.1	83.403	76.2	106.82	84.54	93.07	102.0	76.0	89.0	95.7	3.0	59.8	92.823	101.84
201305	384545.7	1129.7		2292008805.0	577.87	4220941937.0	2001.05	99.7	99.5	76.4	82.534	76.9	111.53	88.45	94.27	96.0	77.0	92.0	96.3	3.0	59.8	92.823	101.49
201306	384261.3	1142.0		1737738338.0	519.06	4104743494.0	1863.32	100.0	99.6	76.4	81.498	76.5	103.11	81.57	95.13	99.0	79.0	92.0	96.8	3.1	59.9	92.71	101.48
201307	391135.5	1123.5		1638541086.0	554.31	3642652782.0	1914.03	99.9	99.8	74.2	84.304	81.8	105.72	83.71	95.45	99.0	79.0	94.0	97.4	3.2	59.9	92.909	101.46
201308	398546.6	1110.0		1907935784.0	516.74	3825979567.0	1926.36	99.9	99.8	75.6	82.075	84.0	104.56	82.96	94.92	99.0	75.0	90.0	98.0	3.2	59.9	93.238	101.74
201309	390613.6	1074.7		1593581073.0	534.89	4461010541.0	1996.96	99.7	99.7	73.5	87.081	76.5	102.72	81.18	94.17	100.0	77.0	86.0	98.6	3.0	60.1	93.419	101.63
201310	397966.3	1060.7		1689129690.0	532.44	4243697758.0	2030.09	100.0	99.7	76.8	85.45	90.7	115.57	91.39	93.78	97.0	79.0	88.0	99.1	3.1	60.2	93.134	101.27
201311	404693.4	1058.2		1419535778.0	517.06	3694007340.0	2044.87	100.0	99.8	76.7	87.779	80.4	110.98	87.96	94.17	100.0	78.0	89.0	99.5	3.1	60.2	93.116	101.07
201312	400693.0	1055.4		1143519088.0	499.99	3437431296.0	2011.34	100.2	99.9	77.3	88.318	78.6	107.33	84.86	94.4	100.0	75.0	89.0	99.9	3.2	60.1	93.229	101.3
201401	408154.1	1070.4		1655342282.0	515.2	3880111935.0	1941.15	100.4	99.8	78.7	85.919	79.6	104.12	82.81	92.82	97.0	75.0	90.0	100.0	3.1	60.4	93.73	101.57
201402	416899.2	1067.5		1651689554.0	528.96	3705431718.0	1979.99	100.4	99.8	77.7	86.855	86.0	99.33	79.04	93.73	102.0	76.0	92.0	100.0	3.6	60.6	93.98	101.7
201403	410462.7	1064.7		1933642243.0	541.58	3674999850.0	1985.61	100.6	99.7	78.5	87.136	81.6	112.33	89.63	93.38	101.0	80.0	98.0	99.9	3.4	60.4	94.153	101.66
201404	418665.3	1033.2		2069177583.0	559.34	3573378127.0	1961.79	100.4	99.6	78.6	88.45	85.1	115.24	92.24	93.62	101.0	79.0	100.0	99.7	3.6	60.7	94.214	101.5
201405	427553.5	1020.1		1869985642.0	546.53	3665502933.0	1994.96	100.1	99.5	74.9	88.06	82.4	107.79	86.13	93.82	99.0	79.0	100.0	99.5	3.5	60.3	94.369	101.49
201406	429213.7	1011.8		1433689721.0	537.06	3927661038.0	2002.21	100.0	99.5	76.7	86.818	77.6	105.38	83.95	93.88	103.0	80.0	97.0	99.3	3.5	60.3	94.248	101.53
201407	437511.2	1027.9		1968595855.0	536.32	4034403266.0	2076.12	100.0	99.4	77.4	87.878	84.5	112.49	89.3	93.66	97.0	78.0	96.0	99.2	3.5	60.5	94.386	101.61
201408	444633.2	1014.0		2191391800.0	570.2	4124629502.0	2068.54	100.1	99.5	73.6	87.638	75.6	104.32	82.86	94.14	95.0	75.0	90.0	99.1	3.6	60.7	94.551	101.5
